id,model_state,date_created,date_modified,date_deleted,name,address,locality,lat,lng,active
63,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"MITRE 7 ESQUINA ALSINA,BUENOS AIRES,DAIREAUX",GBA,-36.5994803,-61.7475931,1
64,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"HIPOLITO IRIGOYEN 880,CORRIENTES,CORRIENTES",INT,-27.4684849,-58.8395686,1
65,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CAPITAN DRURY 860,NEUQUEN,CHAPELCO",INT,-38.9516784,-68.0591888,1
66,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ALVEAR 758,SANTA FE,VENADO TUERTO",INT,-33.7419769,-61.9590124,1
67,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"PADRE PATIÑO 545 LOCAL 3,FORMOSA,FORMOSA",INT,-26.1811046,-58.1709396,1
68,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"SARMIENTO 225,BUENOS AIRES,GENERAL VILLEGAS",GBA,-35.0326402,-63.0148417,1
69,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CNEL. BONORINO 28,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6283465,-58.4595638,1
70,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CIUDAD DE RODEZ 401,BUENOS AIRES,PIGUE",GBA,-37.6050352,-62.4056267,1
71,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV. RIVADAVIA 4725,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6162201,-58.4321336,1
72,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ARCE 940 LOCAL 200 BELGRANO,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.564658,-58.451773,1
73,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"RUFINO DE ELIZALDE 3346,BUENOS AIRES,EL TALAR",GBA,-34.4720967,-58.6540206,1
74,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV CALLAO 1160,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.595244,-58.3935523,1
75,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV VITERBORI 1550,RIO NEGRO,GENERAL ROCA",GBA,-39.059349,-67.5824718,1
76,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"LAMADRID  94,BUENOS AIRES,BAHIA BLANCA",GBA,-38.7158189,-62.2616029,1
77,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ASAMBLEA 936,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6036844,-58.3815591,1
78,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV. CALLAO 1160,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.595244,-58.3935523,1
79,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV.VIRREY TOLEDO 702 LOC.121,SALTA,SALTA",INT,-24.7813068,-65.4027774,1
80,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CAPITAN ALDO GARRIDO 325 EX CH,BUENOS AIRES,SAN ISIDRO",GBA,-34.4692827,-58.5101713,1
81,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"25 de MAYO 167,LA PAMPA,SANTA ROSA",INT,-36.6210202,-64.2886915,1
